ticker,entry,price_changes_1,price_changes_3,price_changes_5,price_changes_10,price_changes_20,indicator_changes_1,indicator_changes_3,indicator_changes_5,indicator_changes_10,indicator_changes_20,percentage_of_high_indicator_3,percentage_of_high_indicator_5,percentage_of_high_indicator_10,percentage_of_high_indicator_20,day_1,day_2,day_3,day_4,day_5,close_1,close_2,close_3,close_4,the_high,the_low,the_entry,date,result
AAN,62,-1.938,-5.474,-10.795,22.152,26.27,0.37,5.692,13.801,-40.319,-43.369,0.26,4.112,4.258,4.258,-2.265,0.37,1.825,6.284,7.587,1.156380027739251,1.2406380027739252,1.1966019417475728,1.141470180305132,1.263,0.986,28.84,2020-05-06,1.0298196948682385
AAN,68,8.047,-7.012,-3.778,0.501,39.401,-8.506,15.788,9.962,-2.77,-58.703,4.3,4.3,4.3,4.3,-8.506,-7.816,1.991,5.613,18.68,0.9766282330944218,1.039576191960112,1.0065440947335618,1.0539108756622,1.08,0.958,32.09,2020-05-14,1.0501713929573075
AAN,104,-3.552,-4.02,-6.579,-0.253,-11.83,5.692,7.249,10.335,2.727,0.509,2.127,2.127,2.127,2.127,-0.297,0.889,1.855,2.197,5.692,1.0085155350978134,1.0082853855005753,1.0151898734177214,0.9760644418872265,1.033,0.958,43.45,2020-07-07,0.9857307249712312
AAON,21,-12.364,-13.639,-10.775,-3.87,-5.158,9.7,12.768,10.462,4.011,7.983,1.539,1.676,1.871,1.871,-6.887,-0.279,3.347,4.581,9.7,1.0050319749456995,0.8556222305237807,0.7987227002180882,1.007935043093456,1.035,0.783,51.67,2020-03-09,0.9924521114095408
AAON,27,-6.747,15.871,-7.915,-14.881,-14.209,6.109,-17.29,15.042,21.72,27.895,6.828,6.828,6.828,6.828,-23.269,-0.13,6.109,12.913,19.419,0.9818067976278358,1.0236303027044464,0.9470932916051292,0.998536183704079,1.108,0.923,47.82,2020-03-17,0.9506482512460787
AAON,66,-2.081,-2.061,3.214,-1.716,0.486,3.552,4.934,5.387,4.424,-0.844,2.295,2.295,2.295,2.295,0.193,0.259,0.503,0.879,3.552,0.9795918367346939,0.9665474437197559,1.004418262150221,1.0744792762465811,1.085,0.936,47.53,2020-05-12,1.052808752366926
AAON,88,0.212,-9.376,-10.913,-3.988,13.191,-1.109,3.688,6.477,-3.09,-16.503,0.613,1.542,1.542,1.996,-1.109,0.985,1.134,1.804,3.662,1.0140384615384614,1.0353846153846153,1.021346153846154,1.0265384615384616,1.055,0.96,52.0,2020-06-12,1.0265384615384616
AAON,122,1.542,3.856,2.651,1.979,10.294,2.544,5.251,7.147,5.665,-1.893,3.139,3.139,3.139,3.139,-0.572,-0.04,2.468,2.545,2.746,1.0172151898734179,1.0055696202531645,1.0124894514767933,0.960506329113924,1.031,0.912,59.25,2020-07-31,0.9876793248945148
AAP,24,-13.102,-16.255,-13.999,-18.566,-18.742,19.644,25.715,33.705,47.779,52.248,9.558,9.558,9.558,9.558,-3.898,2.306,5.684,9.969,19.644,1.0413117359336312,0.872492457612727,0.9182925866212691,0.8127691201351864,1.056,0.72,109.17,2020-03-12,0.7873041897026584
AAP,30,-12.775,-25.217,-34.052,-41.375,-46.709,30.413,87.201,105.944,130.611,155.141,23.055,23.055,23.055,23.055,-7.45,15.838,26.193,30.413,40.95,1.0205415618307616,1.1497931912056296,1.2044818138114324,1.2926504212907426,1.337,0.951,74.97,2020-03-20,1.2734427059651545
