days,Multiplication,change 1,change 2,change 3,Count Diff,Top,Classification,ID
11,9.681042084,1.032167226,0.862844502,0.93303933,18,0.691503363,1,67
1,10,0.997521808,1.006100585,1.069550878,11,0.41261406,1,67
3,9.479153628,0.971587336,0.916847698,1.202788161,2,0.431758077,1,68
8,7.69901536,1.00746898,1.013928975,0.920852411,2,0.659680074,1,68
9,7.719601174,0.99583416,1.064842105,0.927871298,1,0.553800325,0,68
10,8.710824062,1.01300052,0.778061268,1.065818204,1,0.935355973,0,69
2,8.346308075,1.044729955,1.021820918,0.957826857,1,0.40594232,0,69
2,8.063365033,0.991336634,0.983429395,0.985619991,6,0.499619796,1,69
1,7.02599175,0.95956044,1.006427916,0.890911172,7,1.16831159,1,69
3,7.96070527,0.987614699,0.953720903,0.958229692,6,0.856546392,1,70
3,7.78221219,1.017941949,0.913959398,1.038726435,3,0.396631309,1,70
1,9.473872431,0.969163444,0.993085215,0.882642933,12,0.373261359,1,70
6,9.210621501,0.955223881,1.273885308,1.108000031,4,0.529493274,1,71
3,7.431227729,1.009391588,1.040256959,0.902449506,14,0.735535803,1,72
5,8.200342568,1.001671123,1.073781768,1.000684685,16,0.51780582,1,72
2,7.493874829,0.993469743,0.973534558,0.812993854,4,0.741294784,1,73
5,9.854733001,1.015786766,0.932248643,1.015462685,2,1.006402573,1,74
1,7.015035066,1.082055533,1.004549591,1.121820616,1,0.814712263,0,74
2,8.401068607,1.025815217,1.035422343,0.873160477,5,0.566165167,1,74
1,7.484417906,0.982509328,0.979027928,1.009586807,5,0.295249097,1,75
3,7.644822981,0.972913601,0.948180848,1.336775538,8,0.507447327,1,75
1,8.000963832,1.014781834,0.994880847,1.030047443,1,0.475874949,0,75
2,7.584516118,1.086677368,0.850360952,1.190378342,1,0.380676256,0,76
6,8.454908508,0.96626628,0.99344186,0.842112421,3,0.414516467,1,76
9,8.594253577,0.955178571,1.104749486,0.812276235,1,0.355472106,0,76
1,10,0.990587662,0.991876682,0.985689949,4,1,1,77
10,8.278716401,1.002087664,1.087745826,1.291021726,2,0.76779744,1,78
18,8.827605782,1.003676471,1.133333333,0.984265734,1,0.405321636,0,78
7,7.45857528,1.000389105,1.007858546,0.974358974,47,0.497014878,1,79
1,7.030250691,0.962089963,1.023964919,0.859537237,6,0.364401143,1,80
1,7.141306026,0.95414705,0.992953768,1.052618206,1,0.394172085,0,81
7,7.991467545,0.865698177,0.864964203,1.118158977,1,0.403032741,0,81
2,8.161680287,0.981980255,1.040389045,0.982194617,3,0.369925096,1,81
1,7.946848171,1.013317453,0.943403839,1.04633437,18,0.342813112,1,81
1,7.069355484,0.99696138,1.012665802,0.965777955,2,0.559781548,1,81
10,8.689739464,1.004888569,0.951442238,0.895741557,1,0.432165734,0,82
2,8.370928941,1.019639269,0.988888862,0.910103723,2,0.950637283,1,83
1,7.003668797,1.08,1.004588686,0.923349028,41,0.937498181,1,83
1,7.019570182,1.02728972,0.98492841,0.683965641,17,0.514021023,1,83
4,8.327112317,1.065253371,0.742158668,1.177390588,1,0.353371083,0,84
1,7.67483414,0.98141008,1.008632693,0.935703534,4,0.361531189,1,85
3,8.513295809,0.985515643,0.971260997,0.933156655,15,0.636770689,1,86
2,8.416745813,1.0054371,0.982671618,0.939868724,2,0.476508552,1,87
5,8.804920414,1.004581132,0.997011812,0.985024934,2,0.502743569,1,87
6,7.985444325,0.995926348,0.998166667,0.770327618,18,0.33155064,1,87
29,8.155167744,0.966874385,0.713465066,1.002693579,5,0.473884596,1,88
1,7.528893013,1.020683949,0.93498452,0.965490992,15,0.637571895,1,89
10,7.831297046,0.923855503,0.674441074,1.181041286,3,0.348289187,1,90
2,7.327761117,1.03568161,0.997992701,0.789976564,3,0.320910756,1,90
1,7.080848296,0.994018488,1.017971759,0.917938012,5,0.404927269,1,90
2,8.514478691,1.010650135,0.9419715,0.924939467,8,0.425951244,1,90
3,8.258081551,0.98474363,1.003737736,1.011689025,5,0.364616597,1,90
2,7.214555586,0.99895958,0.984064194,1.059041327,2,0.74279552,1,91
9,7.985070631,1.0375,0.986956542,1.394849831,1,0.474812853,0,92
2,8.073350269,1.029411765,1.113609467,0.595180723,1,0.364458544,0,92
3,7.760586969,1.07037037,1.074509804,1.167976424,2,0.364576218,1,92
9,9.240767274,1.018678991,0.93697554,1.000186986,9,0.684863687,1,93
2,7.997195556,1.019569472,0.952434247,1.035819251,3,0.369675737,1,93
2,9.595554379,0.984407206,0.981875002,0.939842974,1,0.548267199,0,94
2,7.087196861,0.980835487,1.042285714,0.946428571,17,0.617137403,1,95
1,7.521001946,0.94594932,0.999602333,0.881733985,3,0.326889944,1,96
1,7.903038233,1.001023934,1.007842112,0.899313823,16,0.302086854,1,96
8,7.871208902,0.985930172,0.984675325,0.88492519,34,0.334659171,1,96
5,7.667415634,1.004869967,0.932091814,0.975778205,1,1.006595763,0,97
4,8.462004517,1.010072838,0.873814805,0.882232083,1,0.483648526,0,97
6,7.52565239,1.014151982,1.080014696,0.961912704,1,0.421671303,0,97
2,7.289679755,0.977165817,1.041870611,0.895944346,3,0.455228791,1,97
2,7.610175856,1.048092968,0.992580909,1.059258834,10,0.325811084,1,97
4,7.466390358,1.005393304,1.087087416,1.06931256,16,0.396630621,1,97
3,8.089740461,1.003251653,0.959473781,0.927026992,1,0.362398721,0,98
9,8.086359404,1.052050798,0.665653497,1.099481254,1,0.30236205,0,98
5,8.395768826,0.973554302,1.02019564,0.957049773,4,0.284876588,1,98
2,7.255035642,0.931407407,1.040774879,0.801598711,2,0.267729657,1,98
2,8.023380775,1.039632107,0.900903614,1.041490646,9,0.278841313,1,98
1,7.657658277,1.036837003,0.987826322,1.072695745,9,0.570891116,1,98
1,7.795409306,0.991155685,1.023309624,0.954014503,12,0.388871598,1,99
5,8.199383771,1.015710919,1.044088176,0.984063745,43,0.403668674,1,100
5,7.64852398,1.010309278,1.042718768,0.992103076,31,0.740779945,1,101
14,8.66999433,0.998479087,1.033871603,0.976953125,24,0.553173128,1,101
3,7.803971491,0.959462017,0.951963506,0.969075703,6,0.943433355,1,102
